Time,Parris_sessions,Schultz_sessions,Parris_subscriptions,Schultz_subscriptions,Parris_messages_inbound,Schultz_messages_inbound,Parris_messages_outbound,Schultz_messages_outbound,Parris_received_bytes,Schultz_received_bytes,Parris_sent_bytes,Schultz_sent_bytes
2026-04-28 14:00:00,22,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-28 14:02:00,22,3,316,206,18.8701,1.9503,19.096,1.9339,60948.06,5552.0,57414.82,5566.81
2026-04-28 14:04:00,22,3,316,206,23.0658,1.9497,22.8924,1.9655,69773.52,5550.39,67500.93,5565.2
2026-04-28 14:06:00,22,3,316,206,23.3263,1.4938,22.9686,1.9342,68698.92,4252.46,67599.74,4263.8
2026-04-28 14:08:00,22,3,316,206,23.237,1.9989,22.9195,1.9195,68587.63,5690.32,67862.68,5705.49
2026-04-28 14:10:00,22,3,316,206,23.3155,1.9833,23.037,1.5395,68563.66,5646.09,67893.65,5661.15
2026-04-28 14:12:00,22,3,316,206,23.6291,1.9816,23.3181,1.965,68491.98,5641.26,67573.63,5656.31
2026-04-28 14:14:00,22,3,316,206,23.5867,1.9667,23.3322,1.952,68583.9,5598.64,67779.96,5613.57
2026-04-28 14:16:00,22,3,316,206,23.6743,1.9644,23.3073,1.9644,68701.04,5592.21,67710.67,5607.12
2026-04-28 14:18:00,22,3,316,206,23.7209,1.9119,23.4568,1.9475,68558.82,5442.63,67754.51,5457.15
2026-04-28 14:20:00,22,3,316,206,23.7571,1.7,23.6133,1.9277,68329.01,4839.51,67828.3,4852.41
2026-04-28 14:22:00,22,3,316,206,23.4023,1.7497,23.6726,1.9062,67204.5,4981.04,67829.78,4994.32
2026-04-28 14:24:00,22,3,316,206,22.8288,1.9701,23.6556,1.9401,65675.88,5608.29,67732.8,5623.25
2026-04-28 14:26:00,22,3,316,206,23.9494,1.9833,23.6879,1.963,68319.18,5646.09,67622.87,5661.15
2026-04-28 14:28:00,22,3,316,206,23.9212,1.9873,23.9138,1.8393,67398.31,5657.35,67629.97,5672.44
2026-04-28 14:30:00,22,3,316,206,23.6556,1.9873,23.9144,1.5935,67160.48,5657.35,67852.35,5672.44
2026-04-28 14:32:00,22,3,316,206,23.8297,1.8822,23.7136,1.9257,68173.02,5358.2,67824.46,5372.49
2026-04-28 14:34:00,22,3,316,206,23.8127,1.7816,23.5531,1.9452,68466.64,5071.91,67700.36,5085.44
2026-04-28 14:36:00,22,3,316,206,23.5387,1.9121,23.5376,1.9333,67914.46,5443.44,67688.16,5457.96
