Time,Parris_sessions,Schultz_sessions,Parris_subscriptions,Schultz_subscriptions,Parris_messages_inbound,Schultz_messages_inbound,Parris_messages_outbound,Schultz_messages_outbound,Parris_received_kb,Schultz_received_kb,Parris_sent_kb,Schultz_sent_kb,Parris_total_kb,Schultz_total_kb
2026-04-28 14:00:00,6,3,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-28 14:01:00,6,3,16,7,103.1186,94.3051,64.339,1.8814,240.2168,1107.0603,154.4981,18.9045,394.7149,38.0683
2026-04-28 14:02:00,6,3,16,7,238.2712,111.5254,233.1695,110.9661,572.8849,1122.4022,566.6885,1115.4217,1139.5734,2237.8239
2026-04-28 14:03:00,6,3,16,7,270.2034,98.661,285.5763,110.0,659.3623,898.4284,690.1558,1116.4691,1349.5182,2014.8975
2026-04-28 14:04:00,6,3,16,7,267.0,110.9322,291.2034,109.8644,643.4216,1113.0019,699.8262,1106.7352,1343.2479,2219.7372
2026-04-28 14:05:00,6,3,16,7,274.322,110.0,286.4576,108.1695,664.9195,1115.8351,699.1993,1110.8488,1364.1188,2226.6839
2026-04-28 14:06:00,6,3,16,7,285.8644,110.3051,277.1695,109.8983,708.6744,1132.4122,689.463,1119.3392,1398.1375,2251.7514
2026-04-28 14:07:00,6,3,16,7,286.9831,110.7458,284.322,108.8814,699.8244,1126.5638,696.6172,1108.3435,1396.4416,2234.9073
2026-04-28 14:08:00,6,3,16,7,282.2034,96.0339,277.339,108.1356,699.7631,1084.9839,690.1059,1134.8502,1389.869,2219.8341
2026-04-28 14:09:00,6,3,16,7,285.7288,108.6949,213.8814,108.5424,710.1275,1117.3361,531.5411,1101.0361,1241.6686,2218.3722
2026-04-28 14:10:00,6,3,16,7,284.3729,107.1695,268.3898,101.9322,705.1711,1117.6122,664.1351,1061.6851,1369.3061,2179.2972
2026-04-28 14:11:00,6,3,16,7,286.0847,108.1864,282.6949,86.8475,706.1008,1120.3324,697.1583,894.4557,1403.2591,2014.7881
2026-04-28 14:12:00,6,3,16,7,262.2203,109.0,283.0,108.2034,650.6246,1129.6922,698.5605,1130.07,1349.1851,2259.7622
2026-04-28 14:13:00,6,3,16,7,266.4237,105.4746,284.8305,108.1186,653.0633,1075.1125,696.5147,1118.3061,1349.578,2193.4186
2026-04-28 14:14:00,6,3,16,7,294.3559,97.0339,288.3559,106.661,706.5688,935.2438,693.2923,1102.769,1399.8609,2038.0128
2026-04-28 14:15:00,6,3,16,7,297.661,111.0169,290.7797,112.2542,710.2784,1125.9465,693.1524,1137.4596,1403.4308,2263.4061
2026-04-28 14:16:00,6,3,16,7,296.9492,114.0,290.0,112.4576,705.3547,1142.1891,689.262,1120.1749,1394.6168,2262.364
2026-04-28 14:17:00,6,3,16,7,270.5085,109.3898,290.0,111.0,633.2135,1136.8941,688.8163,1119.8069,1322.0297,2256.701
2026-04-28 14:18:00,6,3,16,7,294.2034,101.661,290.8644,110.3898,696.9588,1101.7092,691.3408,1124.4747,1388.2998,2226.1838
2026-04-28 14:19:00,6,3,16,7,295.7627,110.9661,291.0,109.322,706.1278,1121.7261,694.1788,1113.109,1400.3065,2234.8351
2026-04-28 14:20:00,6,3,16,7,295.6271,111.6441,292.2542,109.661,704.4746,1128.803,694.2764,1108.5748,1398.7511,2237.3778
2026-04-28 14:21:00,6,3,16,7,281.2542,105.7966,290.4576,109.3559,677.7183,1035.6334,692.2404,1107.42,1369.9587,2143.0535
2026-04-28 14:22:00,6,3,16,7,273.6271,104.1017,287.2203,109.6271,661.0615,982.4537,688.4905,1114.7547,1349.5519,2097.2084
2026-04-28 14:23:00,6,3,16,7,287.2542,110.6102,287.6271,109.3898,683.118,1123.9364,688.0169,1104.1737,1371.135,2228.1101
2026-04-28 14:24:00,6,3,16,7,295.0847,110.8136,290.7797,98.6102,707.4132,1124.916,695.3688,996.6013,1402.7821,2121.5173
2026-04-28 14:25:00,6,3,16,7,289.322,110.7288,283.3559,93.0169,710.1474,1126.304,691.4951,943.7767,1401.6424,2070.0807
2026-04-28 14:26:00,6,3,16,7,271.6949,105.0339,266.6102,109.322,692.0675,1112.4904,684.0543,1104.3168,1376.1219,2216.8072
2026-04-28 14:27:00,6,3,16,7,271.5932,105.0339,276.9492,110.0847,669.7751,1114.8711,687.8929,1109.5301,1357.6681,2224.4011
