"Time","Schultz Method","Parris Method"
2025-11-05 10:30:00,,104
2025-11-05 10:35:00,,225
2025-11-05 10:40:00,,230
2025-11-05 10:45:00,,229
2025-11-05 10:50:00,,209
2025-11-05 10:55:00,,217
2025-11-05 11:00:00,,249
2025-11-05 11:05:00,,227
2025-11-05 11:10:00,,228
2025-11-05 11:15:00,,239
2025-11-05 11:20:00,,247
2025-11-05 11:25:00,,241
2025-11-05 11:30:00,,253
2025-11-05 11:35:00,,238
2025-11-05 11:40:00,104,245
2025-11-05 11:45:00,225,222
2025-11-05 11:50:00,230,217
2025-11-05 11:55:00,229,219
2025-11-05 12:00:00,209,239
2025-11-05 12:05:00,217,233
2025-11-05 12:10:00,249,234
2025-11-05 12:15:00,227,0
2025-11-05 12:20:00,228,0
2025-11-05 12:25:00,239,0
2025-11-05 12:30:00,247,0
2025-11-05 12:35:00,241,0
2025-11-05 12:40:00,253,0
2025-11-05 12:45:00,238,92.9
2025-11-05 12:50:00,245,239
2025-11-05 12:55:00,222,223
2025-11-05 13:00:00,217,225
2025-11-05 13:05:00,219,236
2025-11-05 13:10:00,239,232
2025-11-05 13:15:00,233,215
2025-11-05 13:20:00,234,211
2025-11-05 13:25:00,0,217
2025-11-05 13:30:00,0,212
2025-11-05 13:35:00,0,203
2025-11-05 13:40:00,0,221
2025-11-05 13:45:00,0,222
2025-11-05 13:50:00,0,201
2025-11-05 13:55:00,92.9,223
2025-11-05 14:00:00,239,212
2025-11-05 14:05:00,223,222
2025-11-05 14:10:00,225,237
2025-11-05 14:15:00,236,233
2025-11-05 14:20:00,232,215
2025-11-05 14:25:00,215,229
2025-11-05 14:30:00,211,244
2025-11-05 14:35:00,217,203
2025-11-05 14:40:00,212,231
2025-11-05 14:45:00,203,157
2025-11-05 14:50:00,221,0
2025-11-05 14:55:00,222,0
2025-11-05 15:00:00,201,8.17
2025-11-05 15:05:00,223,18.4
2025-11-05 15:10:00,212,18.4
2025-11-05 15:15:00,222,18.4
2025-11-05 15:20:00,237,19.4
2025-11-05 15:25:00,233,175
2025-11-05 15:30:00,215,204
2025-11-05 15:35:00,229,208
2025-11-05 15:40:00,244,218
2025-11-05 15:45:00,203,219
2025-11-05 15:50:00,231,215
2025-11-05 15:55:00,157,388
2025-11-05 16:00:00,0,399
2025-11-05 16:05:00,0,407
2025-11-05 16:10:00,8.17,449
2025-11-05 16:15:00,18.4,398
2025-11-05 16:20:00,18.4,376
2025-11-05 16:25:00,18.4,393
2025-11-05 16:30:00,19.4,414
2025-11-05 16:35:00,175,424
2025-11-05 16:40:00,204,409
2025-11-05 16:45:00,208,384
2025-11-05 16:50:00,218,401
2025-11-05 16:55:00,219,403
2025-11-05 17:00:00,215,393
2025-11-05 17:05:00,388,402
2025-11-05 17:10:00,399,409
2025-11-05 17:15:00,407,403
2025-11-05 17:20:00,449,402
2025-11-05 17:25:00,398,394
2025-11-05 17:30:00,376,396
2025-11-05 17:35:00,393,405
2025-11-05 17:40:00,414,416
2025-11-05 17:45:00,424,420
2025-11-05 17:50:00,409,416
2025-11-05 17:55:00,384,386
2025-11-05 18:00:00,401,389
2025-11-05 18:05:00,403,410
2025-11-05 18:10:00,393,405
2025-11-05 18:15:00,402,410
2025-11-05 18:20:00,409,412
2025-11-05 18:25:00,403,416
2025-11-05 18:30:00,402,417
2025-11-05 18:35:00,394,409
2025-11-05 18:40:00,396,407
2025-11-05 18:45:00,405,396
2025-11-05 18:50:00,416,395
2025-11-05 18:55:00,420,384
2025-11-05 19:00:00,416,390
2025-11-05 19:05:00,386,377
2025-11-05 19:10:00,389,416
2025-11-05 19:15:00,410,414
2025-11-05 19:20:00,405,412
2025-11-05 19:25:00,410,397
2025-11-05 19:30:00,412,411
2025-11-05 19:35:00,416,410
2025-11-05 19:40:00,417,418
2025-11-05 19:45:00,409,419
2025-11-05 19:50:00,407,411
2025-11-05 19:55:00,396,396
2025-11-05 20:00:00,395,418
2025-11-05 20:05:00,384,419
2025-11-05 20:10:00,390,424
2025-11-05 20:15:00,377,430
2025-11-05 20:20:00,416,418
2025-11-05 20:25:00,414,421
2025-11-05 20:30:00,412,404
2025-11-05 20:35:00,397,415
2025-11-05 20:40:00,411,423
2025-11-05 20:45:00,410,410
2025-11-05 20:50:00,418,421
2025-11-05 20:55:00,419,410
2025-11-05 21:00:00,411,390
2025-11-05 21:05:00,396,405
2025-11-05 21:10:00,418,412
2025-11-05 21:15:00,419,418
2025-11-05 21:20:00,424,399
2025-11-05 21:25:00,430,415
2025-11-05 21:30:00,418,412
2025-11-05 21:35:00,421,415
2025-11-05 21:40:00,404,414
2025-11-05 21:45:00,415,415
2025-11-05 21:50:00,423,416
2025-11-05 21:55:00,410,406
2025-11-05 22:00:00,421,404
2025-11-05 22:05:00,410,409
2025-11-05 22:10:00,390,415
2025-11-05 22:15:00,405,419
2025-11-05 22:20:00,412,412
2025-11-05 22:25:00,418,407
2025-11-05 22:30:00,399,414
2025-11-05 22:35:00,415,419
2025-11-05 22:40:00,412,405
2025-11-05 22:45:00,415,409
2025-11-05 22:50:00,414,417
2025-11-05 22:55:00,415,424
2025-11-05 23:00:00,416,412
2025-11-05 23:05:00,406,401
2025-11-05 23:10:00,404,422
2025-11-05 23:15:00,409,421
2025-11-05 23:20:00,415,423
2025-11-05 23:25:00,419,419
2025-11-05 23:30:00,412,413
2025-11-05 23:35:00,407,415
2025-11-05 23:40:00,414,404
2025-11-05 23:45:00,419,418
2025-11-05 23:50:00,405,415
2025-11-05 23:55:00,409,412
2025-11-06 00:00:00,417,424
2025-11-06 00:05:00,424,423
2025-11-06 00:10:00,412,397
2025-11-06 00:15:00,401,414
2025-11-06 00:20:00,422,413
2025-11-06 00:25:00,421,417
2025-11-06 00:30:00,423,402
2025-11-06 00:35:00,419,417
2025-11-06 00:40:00,413,413
2025-11-06 00:45:00,415,415
2025-11-06 00:50:00,404,426
2025-11-06 00:55:00,418,410
2025-11-06 01:00:00,415,410
2025-11-06 01:05:00,412,409
2025-11-06 01:10:00,424,428
2025-11-06 01:15:00,423,424
2025-11-06 01:20:00,397,416
2025-11-06 01:25:00,414,412
2025-11-06 01:30:00,413,407
2025-11-06 01:35:00,417,400
2025-11-06 01:40:00,402,406
2025-11-06 01:45:00,417,393
2025-11-06 01:50:00,413,405
2025-11-06 01:55:00,415,407
2025-11-06 02:00:00,426,404
2025-11-06 02:05:00,410,419
2025-11-06 02:10:00,410,413
2025-11-06 02:15:00,409,404
2025-11-06 02:20:00,428,418
2025-11-06 02:25:00,424,415
2025-11-06 02:30:00,416,394
