"Time","Schultz Method","Parris Method"
2025-11-05 10:28:00,,8.52
2025-11-05 10:30:00,,112
2025-11-05 10:32:00,,231
2025-11-05 10:34:00,,240
2025-11-05 10:36:00,,242
2025-11-05 10:38:00,,251
2025-11-05 10:40:00,,246
2025-11-05 10:42:00,,252
2025-11-05 10:44:00,,244
2025-11-05 10:46:00,,251
2025-11-05 10:48:00,,251
2025-11-05 10:50:00,,226
2025-11-05 10:52:00,,222
2025-11-05 10:54:00,,234
2025-11-05 10:56:00,,232
2025-11-05 10:58:00,,240
2025-11-05 11:00:00,,267
2025-11-05 11:02:00,,259
2025-11-05 11:04:00,,234
2025-11-05 11:06:00,,235
2025-11-05 11:08:00,,245
2025-11-05 11:10:00,,245
2025-11-05 11:12:00,,248
2025-11-05 11:14:00,,254
2025-11-05 11:16:00,,267
2025-11-05 11:18:00,,265
2025-11-05 11:20:00,,263
2025-11-05 11:22:00,,259
2025-11-05 11:24:00,,251
2025-11-05 11:26:00,,260
2025-11-05 11:28:00,,260
2025-11-05 11:30:00,,271
2025-11-05 11:32:00,,271
2025-11-05 11:34:00,,259
2025-11-05 11:36:00,,250
2025-11-05 11:38:00,8.52,257
2025-11-05 11:40:00,112,262
2025-11-05 11:42:00,231,247
2025-11-05 11:44:00,240,245
2025-11-05 11:46:00,242,234
2025-11-05 11:48:00,251,235
2025-11-05 11:50:00,246,233
2025-11-05 11:52:00,252,236
2025-11-05 11:54:00,244,244
2025-11-05 11:56:00,251,232
2025-11-05 11:58:00,251,247
2025-11-05 12:00:00,226,256
2025-11-05 12:02:00,222,243
2025-11-05 12:04:00,234,249
2025-11-05 12:06:00,232,255
2025-11-05 12:08:00,240,266
2025-11-05 12:10:00,267,169
2025-11-05 12:12:00,259,26.6
2025-11-05 12:14:00,234,0
2025-11-05 12:16:00,235,0
2025-11-05 12:18:00,245,0
2025-11-05 12:20:00,245,0
2025-11-05 12:22:00,248,0
2025-11-05 12:24:00,254,0
2025-11-05 12:26:00,267,0
2025-11-05 12:28:00,265,0
2025-11-05 12:30:00,263,0
2025-11-05 12:32:00,259,0
2025-11-05 12:34:00,251,0
2025-11-05 12:36:00,260,0
2025-11-05 12:38:00,260,0
2025-11-05 12:40:00,271,0
2025-11-05 12:42:00,271,0
2025-11-05 12:44:00,259,2.04
2025-11-05 12:46:00,250,114
2025-11-05 12:48:00,257,241
2025-11-05 12:50:00,262,255
2025-11-05 12:52:00,247,257
2025-11-05 12:54:00,245,248
2025-11-05 12:56:00,234,237
2025-11-05 12:58:00,235,248
2025-11-05 13:00:00,233,242
2025-11-05 13:02:00,236,231
2025-11-05 13:04:00,244,238
2025-11-05 13:06:00,232,253
2025-11-05 13:08:00,247,268
2025-11-05 13:10:00,256,249
2025-11-05 13:12:00,243,240
2025-11-05 13:14:00,249,240
2025-11-05 13:16:00,255,241
2025-11-05 13:18:00,266,245
2025-11-05 13:20:00,169,228
2025-11-05 13:22:00,26.6,226
2025-11-05 13:24:00,0,229
2025-11-05 13:26:00,0,239
2025-11-05 13:28:00,0,242
2025-11-05 13:30:00,0,230
2025-11-05 13:32:00,0,215
2025-11-05 13:34:00,0,220
2025-11-05 13:36:00,0,228
2025-11-05 13:38:00,0,228
2025-11-05 13:40:00,0,238
2025-11-05 13:42:00,0,225
2025-11-05 13:44:00,0,227
2025-11-05 13:46:00,0,244
2025-11-05 13:48:00,0,241
2025-11-05 13:50:00,0,218
2025-11-05 13:52:00,0,217
2025-11-05 13:54:00,2.04,243
2025-11-05 13:56:00,114,234
2025-11-05 13:58:00,241,222
2025-11-05 14:00:00,255,230
2025-11-05 14:02:00,257,227
2025-11-05 14:04:00,248,239
2025-11-05 14:06:00,237,247
2025-11-05 14:08:00,248,234
2025-11-05 14:10:00,242,254
2025-11-05 14:12:00,231,254
2025-11-05 14:14:00,238,244
2025-11-05 14:16:00,253,246
2025-11-05 14:18:00,268,246
2025-11-05 14:20:00,249,232
2025-11-05 14:22:00,240,244
2025-11-05 14:24:00,240,257
2025-11-05 14:26:00,241,236
2025-11-05 14:28:00,245,247
2025-11-05 14:30:00,228,261
2025-11-05 14:32:00,226,251
2025-11-05 14:34:00,229,230
2025-11-05 14:36:00,239,231
2025-11-05 14:38:00,242,252
2025-11-05 14:40:00,230,248
2025-11-05 14:42:00,215,242
2025-11-05 14:44:00,220,233
2025-11-05 14:46:00,228,112
2025-11-05 14:48:00,228,4.09
2025-11-05 14:50:00,238,0
2025-11-05 14:52:00,225,0
2025-11-05 14:54:00,227,0
2025-11-05 14:56:00,244,0
2025-11-05 14:58:00,241,0
2025-11-05 15:00:00,218,3.06
2025-11-05 15:02:00,217,5.11
2025-11-05 15:04:00,243,4.09
2025-11-05 15:06:00,234,4.09
2025-11-05 15:08:00,222,4.09
2025-11-05 15:10:00,230,4.09
2025-11-05 15:12:00,227,3.06
2025-11-05 15:14:00,239,3.06
2025-11-05 15:16:00,247,3.06
2025-11-05 15:18:00,234,4.09
2025-11-05 15:20:00,254,4.09
2025-11-05 15:22:00,254,15.3
2025-11-05 15:24:00,244,21.4
2025-11-05 15:26:00,246,17.4
2025-11-05 15:28:00,246,15.3
2025-11-05 15:30:00,232,16.3
2025-11-05 15:32:00,244,18.4
2025-11-05 15:34:00,257,20.4
2025-11-05 15:36:00,236,26.6
2025-11-05 15:38:00,247,88.9
2025-11-05 15:40:00,261,82.7
2025-11-05 15:42:00,251,15.3
2025-11-05 15:44:00,230,95.0
2025-11-05 15:46:00,231,210
2025-11-05 15:48:00,252,236
2025-11-05 15:50:00,248,237
2025-11-05 15:52:00,242,267
2025-11-05 15:54:00,233,361
2025-11-05 15:56:00,112,422
2025-11-05 15:58:00,4.09,426
2025-11-05 16:00:00,0,424
2025-11-05 16:02:00,0,419
2025-11-05 16:04:00,0,431
2025-11-05 16:06:00,0,432
2025-11-05 16:08:00,0,529
2025-11-05 16:10:00,3.06,763
2025-11-05 16:12:00,5.11,673
2025-11-05 16:14:00,4.09,451
2025-11-05 16:16:00,4.09,440
2025-11-05 16:18:00,4.09,436
2025-11-05 16:20:00,4.09,425
2025-11-05 16:22:00,3.06,414
2025-11-05 16:24:00,3.06,427
2025-11-05 16:26:00,3.06,450
2025-11-05 16:28:00,4.09,461
2025-11-05 16:30:00,4.09,462
2025-11-05 16:32:00,15.3,463
2025-11-05 16:34:00,21.4,469
2025-11-05 16:36:00,17.4,477
2025-11-05 16:38:00,15.3,462
2025-11-05 16:40:00,16.3,459
2025-11-05 16:42:00,18.4,457
2025-11-05 16:44:00,20.4,438
2025-11-05 16:46:00,26.6,444
2025-11-05 16:48:00,88.9,453
2025-11-05 16:50:00,82.7,450
2025-11-05 16:52:00,15.3,464
2025-11-05 16:54:00,95.0,457
2025-11-05 16:56:00,210,449
2025-11-05 16:58:00,236,443
2025-11-05 17:00:00,237,442
2025-11-05 17:02:00,267,439
2025-11-05 17:04:00,361,443
2025-11-05 17:06:00,422,454
2025-11-05 17:08:00,426,459
2025-11-05 17:10:00,424,459
2025-11-05 17:12:00,419,454
2025-11-05 17:14:00,431,461
2025-11-05 17:16:00,432,449
2025-11-05 17:18:00,529,446
2025-11-05 17:20:00,763,451
2025-11-05 17:22:00,673,439
2025-11-05 17:24:00,451,435
2025-11-05 17:26:00,440,437
2025-11-05 17:28:00,436,446
2025-11-05 17:30:00,425,444
2025-11-05 17:32:00,414,439
2025-11-05 17:34:00,427,450
2025-11-05 17:36:00,450,455
2025-11-05 17:38:00,461,461
2025-11-05 17:40:00,462,465
2025-11-05 17:42:00,463,465
2025-11-05 17:44:00,469,469
2025-11-05 17:46:00,477,467
2025-11-05 17:48:00,462,464
2025-11-05 17:50:00,459,464
2025-11-05 17:52:00,457,446
2025-11-05 17:54:00,438,438
2025-11-05 17:56:00,444,438
2025-11-05 17:58:00,453,441
2025-11-05 18:00:00,450,438
2025-11-05 18:02:00,464,430
2025-11-05 18:04:00,457,439
2025-11-05 18:06:00,449,464
2025-11-05 18:08:00,443,418
2025-11-05 18:10:00,442,183
2025-11-05 18:12:00,439,24.5
2025-11-05 18:14:00,443,23.5
2025-11-05 18:16:00,454,23.5
2025-11-05 18:18:00,459,22.5
2025-11-05 18:20:00,459,24.5
2025-11-05 18:22:00,454,24.5
2025-11-05 18:24:00,461,23.5
2025-11-05 18:26:00,449,24.5
2025-11-05 18:28:00,446,24.5
2025-11-05 18:30:00,451,24.5
2025-11-05 18:32:00,439,24.5
2025-11-05 18:34:00,435,23.5
2025-11-05 18:36:00,437,23.5
2025-11-05 18:38:00,446,25.5
2025-11-05 18:40:00,444,24.5
2025-11-05 18:42:00,439,25.5
2025-11-05 18:44:00,450,25.5
2025-11-05 18:46:00,455,25.5
2025-11-05 18:48:00,461,24.5
2025-11-05 18:50:00,465,24.5
2025-11-05 18:52:00,465,25.5
2025-11-05 18:54:00,469,24.5
2025-11-05 18:56:00,467,25.5
2025-11-05 18:58:00,464,24.5
2025-11-05 19:00:00,464,24.5
2025-11-05 19:02:00,446,24.5
2025-11-05 19:04:00,438,23.5
2025-11-05 19:06:00,438,24.5
2025-11-05 19:08:00,441,25.5
2025-11-05 19:10:00,438,25.5
2025-11-05 19:12:00,430,24.5
2025-11-05 19:14:00,439,24.5
2025-11-05 19:16:00,464,25.5
2025-11-05 19:18:00,418,23.5
2025-11-05 19:20:00,183,24.5
2025-11-05 19:22:00,24.5,23.5
2025-11-05 19:24:00,23.5,25.5
2025-11-05 19:26:00,23.5,23.5
2025-11-05 19:28:00,22.5,22.5
2025-11-05 19:30:00,24.5,23.5
2025-11-05 19:32:00,24.5,22.5
2025-11-05 19:34:00,23.5,22.5
2025-11-05 19:36:00,24.5,23.5
2025-11-05 19:38:00,24.5,24.5
2025-11-05 19:40:00,24.5,25.5
2025-11-05 19:42:00,24.5,25.5
2025-11-05 19:44:00,23.5,24.5
2025-11-05 19:46:00,23.5,25.5
2025-11-05 19:48:00,25.5,24.5
2025-11-05 19:50:00,24.5,24.5
2025-11-05 19:52:00,25.5,23.5
2025-11-05 19:54:00,25.5,25.5
2025-11-05 19:56:00,25.5,24.5
2025-11-05 19:58:00,24.5,25.5
2025-11-05 20:00:00,24.5,25.5
2025-11-05 20:02:00,25.5,24.5
2025-11-05 20:04:00,24.5,24.5
2025-11-05 20:06:00,25.5,23.5
2025-11-05 20:08:00,24.5,23.5
2025-11-05 20:10:00,24.5,25.5
2025-11-05 20:12:00,24.5,24.5
2025-11-05 20:14:00,23.5,25.5
2025-11-05 20:16:00,24.5,25.5
2025-11-05 20:18:00,25.5,24.5
2025-11-05 20:20:00,25.5,24.5
2025-11-05 20:22:00,24.5,23.5
2025-11-05 20:24:00,24.5,23.5
2025-11-05 20:26:00,25.5,25.5
2025-11-05 20:28:00,23.5,24.5
2025-11-05 20:30:00,24.5,25.5
2025-11-05 20:32:00,23.5,24.5
2025-11-05 20:34:00,25.5,23.5
2025-11-05 20:36:00,23.5,23.5
2025-11-05 20:38:00,22.5,22.5
2025-11-05 20:40:00,23.5,23.5
2025-11-05 20:42:00,22.5,25.5
2025-11-05 20:44:00,22.5,24.5
2025-11-05 20:46:00,23.5,25.5
2025-11-05 20:48:00,24.5,24.5
2025-11-05 20:50:00,25.5,23.5
2025-11-05 20:52:00,25.5,24.5
2025-11-05 20:54:00,24.5,22.5
2025-11-05 20:56:00,25.5,23.5
2025-11-05 20:58:00,24.5,24.5
2025-11-05 21:00:00,24.5,23.5
2025-11-05 21:02:00,23.5,24.5
2025-11-05 21:04:00,25.5,24.5
2025-11-05 21:06:00,24.5,24.5
2025-11-05 21:08:00,25.5,24.5
2025-11-05 21:10:00,25.5,23.5
2025-11-05 21:12:00,24.5,24.5
2025-11-05 21:14:00,24.5,25.5
2025-11-05 21:16:00,23.5,24.5
2025-11-05 21:18:00,23.5,25.5
2025-11-05 21:20:00,25.5,23.5
2025-11-05 21:22:00,24.5,24.5
2025-11-05 21:24:00,25.5,26.6
2025-11-05 21:26:00,25.5,24.5
2025-11-05 21:28:00,24.5,24.5
2025-11-05 21:30:00,24.5,25.5
2025-11-05 21:32:00,23.5,24.5
2025-11-05 21:34:00,23.5,25.5
2025-11-05 21:36:00,25.5,23.5
2025-11-05 21:38:00,24.5,22.5
2025-11-05 21:40:00,25.5,23.5
2025-11-05 21:42:00,24.5,23.5
2025-11-05 21:44:00,23.5,23.5
2025-11-05 21:46:00,23.5,24.5
2025-11-05 21:48:00,22.5,25.5
2025-11-05 21:50:00,23.5,24.5
2025-11-05 21:52:00,25.5,24.5
2025-11-05 21:54:00,24.5,23.5
2025-11-05 21:56:00,25.5,23.5
2025-11-05 21:58:00,24.5,25.5
2025-11-05 22:00:00,23.5,25.5
2025-11-05 22:02:00,24.5,25.5
2025-11-05 22:04:00,22.5,24.5
2025-11-05 22:06:00,23.5,25.5
2025-11-05 22:08:00,24.5,23.5
2025-11-05 22:10:00,23.5,23.5
2025-11-05 22:12:00,24.5,24.5
2025-11-05 22:14:00,24.5,23.5
2025-11-05 22:16:00,24.5,24.5
2025-11-05 22:18:00,24.5,23.5
2025-11-05 22:20:00,23.5,23.5
2025-11-05 22:22:00,24.5,25.5
2025-11-05 22:24:00,25.5,23.5
2025-11-05 22:26:00,24.5,23.5
2025-11-05 22:28:00,25.5,25.5
2025-11-05 22:30:00,23.5,24.5
2025-11-05 22:32:00,24.5,24.5
2025-11-05 22:34:00,26.6,25.5
2025-11-05 22:36:00,24.5,24.5
2025-11-05 22:38:00,24.5,24.5
2025-11-05 22:40:00,25.5,23.5
2025-11-05 22:42:00,24.5,23.5
2025-11-05 22:44:00,25.5,25.5
2025-11-05 22:46:00,23.5,23.5
2025-11-05 22:48:00,22.5,23.5
2025-11-05 22:50:00,23.5,25.5
2025-11-05 22:52:00,23.5,24.5
2025-11-05 22:54:00,23.5,23.5
2025-11-05 22:56:00,24.5,24.5
2025-11-05 22:58:00,25.5,23.5
2025-11-05 23:00:00,24.5,25.5
2025-11-05 23:02:00,24.5,24.5
2025-11-05 23:04:00,23.5,25.5
2025-11-05 23:06:00,23.5,25.5
2025-11-05 23:08:00,25.5,24.5
2025-11-05 23:10:00,25.5,24.5
2025-11-05 23:12:00,25.5,24.5
2025-11-05 23:14:00,24.5,24.5
2025-11-05 23:16:00,25.5,25.5
2025-11-05 23:18:00,23.5,24.5
2025-11-05 23:20:00,23.5,24.5
2025-11-05 23:22:00,24.5,25.5
2025-11-05 23:24:00,23.5,23.5
2025-11-05 23:26:00,24.5,23.5
2025-11-05 23:28:00,23.5,24.5
2025-11-05 23:30:00,23.5,24.5
2025-11-05 23:32:00,25.5,24.5
2025-11-05 23:34:00,23.5,23.5
2025-11-05 23:36:00,23.5,23.5
2025-11-05 23:38:00,25.5,24.5
2025-11-05 23:40:00,24.5,23.5
2025-11-05 23:42:00,24.5,23.5
2025-11-05 23:44:00,25.5,23.5
2025-11-05 23:46:00,24.5,24.5
