"Time","Schultz Method","Parris Method"
2025-11-05 10:27:00,,0
2025-11-05 10:28:00,,0.0129
2025-11-05 10:29:00,,0.145
2025-11-05 10:30:00,,0.402
2025-11-05 10:31:00,,0.629
2025-11-05 10:32:00,,0.889
2025-11-05 10:33:00,,0.957
2025-11-05 10:34:00,,0.932
2025-11-05 10:35:00,,0.936
2025-11-05 10:36:00,,0.936
2025-11-05 10:37:00,,0.983
2025-11-05 10:38:00,,0.979
2025-11-05 10:39:00,,0.979
2025-11-05 10:40:00,,0.957
2025-11-05 10:41:00,,0.936
2025-11-05 10:42:00,,0.979
2025-11-05 10:43:00,,0.953
2025-11-05 10:44:00,,0.949
2025-11-05 10:45:00,,0.953
2025-11-05 10:46:00,,0.974
2025-11-05 10:47:00,,0.996
2025-11-05 10:48:00,,0.974
2025-11-05 10:49:00,,0.953
2025-11-05 10:50:00,,0.872
2025-11-05 10:51:00,,0.860
2025-11-05 10:52:00,,0.851
2025-11-05 10:53:00,,0.868
2025-11-05 10:54:00,,0.902
2025-11-05 10:55:00,,0.902
2025-11-05 10:56:00,,0.898
2025-11-05 10:57:00,,0.889
2025-11-05 10:58:00,,0.928
2025-11-05 10:59:00,,0.983
2025-11-05 11:00:00,,1.04
2025-11-05 11:01:00,,1.02
2025-11-05 11:02:00,,1.01
2025-11-05 11:03:00,,0.945
2025-11-05 11:04:00,,0.902
2025-11-05 11:05:00,,0.945
2025-11-05 11:06:00,,0.906
2025-11-05 11:07:00,,0.940
2025-11-05 11:08:00,,0.953
2025-11-05 11:09:00,,0.949
2025-11-05 11:10:00,,0.949
2025-11-05 11:11:00,,0.962
2025-11-05 11:12:00,,0.962
2025-11-05 11:13:00,,0.974
2025-11-05 11:14:00,,0.991
2025-11-05 11:15:00,,0.996
2025-11-05 11:16:00,,1.04
2025-11-05 11:17:00,,1.04
2025-11-05 11:18:00,,1.03
2025-11-05 11:19:00,,1.01
2025-11-05 11:20:00,,1.03
2025-11-05 11:21:00,,0.987
2025-11-05 11:22:00,,1.01
2025-11-05 11:23:00,,0.991
2025-11-05 11:24:00,,0.974
2025-11-05 11:25:00,,1.00
2025-11-05 11:26:00,,1.02
2025-11-05 11:27:00,,1.04
2025-11-05 11:28:00,,1.01
2025-11-05 11:29:00,,1.06
2025-11-05 11:30:00,,1.06
2025-11-05 11:31:00,,1.03
2025-11-05 11:32:00,,1.06
2025-11-05 11:33:00,,1.02
2025-11-05 11:34:00,,1.01
2025-11-05 11:35:00,,0.991
2025-11-05 11:36:00,,0.970
2025-11-05 11:37:00,0,0.983
2025-11-05 11:38:00,0.0129,1.00
2025-11-05 11:39:00,0.145,1.03
2025-11-05 11:40:00,0.402,1.02
2025-11-05 11:41:00,0.629,0.987
2025-11-05 11:42:00,0.889,0.957
2025-11-05 11:43:00,0.957,0.945
2025-11-05 11:44:00,0.932,0.953
2025-11-05 11:45:00,0.936,0.923
2025-11-05 11:46:00,0.936,0.902
2025-11-05 11:47:00,0.983,0.898
2025-11-05 11:48:00,0.979,0.906
2025-11-05 11:49:00,0.979,0.919
2025-11-05 11:50:00,0.957,0.902
2025-11-05 11:51:00,0.936,0.945
2025-11-05 11:52:00,0.979,0.911
2025-11-05 11:53:00,0.953,0.919
2025-11-05 11:54:00,0.949,0.945
2025-11-05 11:55:00,0.953,0.911
2025-11-05 11:56:00,0.974,0.898
2025-11-05 11:57:00,0.996,0.928
2025-11-05 11:58:00,0.974,0.957
2025-11-05 11:59:00,0.953,0.949
2025-11-05 12:00:00,0.872,0.996
2025-11-05 12:01:00,0.860,0.957
2025-11-05 12:02:00,0.851,0.945
2025-11-05 12:03:00,0.868,0.979
2025-11-05 12:04:00,0.902,0.966
2025-11-05 12:05:00,0.902,0.970
2025-11-05 12:06:00,0.898,0.991
2025-11-05 12:07:00,0.889,0.991
2025-11-05 12:08:00,0.928,1.04
2025-11-05 12:09:00,0.983,1.05
2025-11-05 12:10:00,1.04,0.974
2025-11-05 12:11:00,1.02,0.711
2025-11-05 12:12:00,1.01,0.417
2025-11-05 12:13:00,0.945,0.174
2025-11-05 12:14:00,0.902,0
2025-11-05 12:15:00,0.945,0
2025-11-05 12:16:00,0.906,0
2025-11-05 12:17:00,0.940,0
2025-11-05 12:18:00,0.953,0
2025-11-05 12:19:00,0.949,0
2025-11-05 12:20:00,0.949,0
