"Time","Schultz Method","Parris Method"
2025-11-05 10:28:00,,2579
2025-11-05 10:30:00,,46645
2025-11-05 10:32:00,,89590
2025-11-05 10:34:00,,89437
2025-11-05 10:36:00,,88040
2025-11-05 10:38:00,,89116
2025-11-05 10:40:00,,90871
2025-11-05 10:42:00,,90682
2025-11-05 10:44:00,,74346
2025-11-05 10:46:00,,73161
2025-11-05 10:48:00,,84142
2025-11-05 10:50:00,,82064
2025-11-05 10:52:00,,78539
2025-11-05 10:54:00,,79120
2025-11-05 10:56:00,,81233
2025-11-05 10:58:00,,69305
2025-11-05 11:00:00,,71767
2025-11-05 11:02:00,,71840
2025-11-05 11:04:00,,79086
2025-11-05 11:06:00,,81370
2025-11-05 11:08:00,,83382
2025-11-05 11:10:00,,81106
2025-11-05 11:12:00,,81991
2025-11-05 11:14:00,,70739
2025-11-05 11:16:00,,72591
2025-11-05 11:18:00,,84944
2025-11-05 11:20:00,,84637
2025-11-05 11:22:00,,84053
2025-11-05 11:24:00,,84368
2025-11-05 11:26:00,,86052
2025-11-05 11:28:00,,86161
2025-11-05 11:30:00,,73361
2025-11-05 11:32:00,,71210
2025-11-05 11:34:00,,81830
2025-11-05 11:36:00,,81834
2025-11-05 11:38:00,2579,81334
2025-11-05 11:40:00,46645,81767
2025-11-05 11:42:00,89590,81600
2025-11-05 11:44:00,89437,69230
2025-11-05 11:46:00,88040,68161
2025-11-05 11:48:00,89116,69174
2025-11-05 11:50:00,90871,80941
2025-11-05 11:52:00,90682,80310
2025-11-05 11:54:00,74346,79969
2025-11-05 11:56:00,73161,77572
2025-11-05 11:58:00,84142,79885
2025-11-05 12:00:00,82064,72131
2025-11-05 12:02:00,78539,69487
2025-11-05 12:04:00,79120,79853
2025-11-05 12:06:00,81233,81350
2025-11-05 12:08:00,69305,82259
2025-11-05 12:10:00,71767,81319
2025-11-05 12:12:00,71840,38365
2025-11-05 12:14:00,79086,0
2025-11-05 12:16:00,81370,0
2025-11-05 12:18:00,83382,0
2025-11-05 12:20:00,81106,0
2025-11-05 12:22:00,81991,0
2025-11-05 12:24:00,70739,0
2025-11-05 12:26:00,72591,0
2025-11-05 12:28:00,84944,0
2025-11-05 12:30:00,84637,0
2025-11-05 12:32:00,84053,0
2025-11-05 12:34:00,84368,0
2025-11-05 12:36:00,86052,0
2025-11-05 12:38:00,86161,0
2025-11-05 12:40:00,73361,0
2025-11-05 12:42:00,71210,0
2025-11-05 12:44:00,81830,13774
2025-11-05 12:46:00,81834,46393
2025-11-05 12:48:00,81334,72110
2025-11-05 12:50:00,81767,78017
2025-11-05 12:52:00,81600,78448
2025-11-05 12:54:00,69230,76430
2025-11-05 12:56:00,68161,74595
2025-11-05 12:58:00,69174,74752
2025-11-05 13:00:00,80941,63770
2025-11-05 13:02:00,80310,61811
2025-11-05 13:04:00,79969,70917
2025-11-05 13:06:00,77572,71885
2025-11-05 13:08:00,79885,73657
2025-11-05 13:10:00,72131,70148
2025-11-05 13:12:00,69487,69366
2025-11-05 13:14:00,79853,62402
2025-11-05 13:16:00,81350,61160
2025-11-05 13:18:00,82259,69141
2025-11-05 13:20:00,81319,50615
2025-11-05 13:22:00,38365,31995
2025-11-05 13:24:00,0,32289
2025-11-05 13:26:00,0,34294
2025-11-05 13:28:00,0,33748
2025-11-05 13:30:00,0,32624
2025-11-05 13:32:00,0,31904
2025-11-05 13:34:00,0,31166
2025-11-05 13:36:00,0,31879
2025-11-05 13:38:00,0,33238
2025-11-05 13:40:00,0,33292
2025-11-05 13:42:00,0,32736
2025-11-05 13:44:00,0,31856
2025-11-05 13:46:00,0,33113
2025-11-05 13:48:00,0,33974
2025-11-05 13:50:00,0,31401
2025-11-05 13:52:00,0,30967
2025-11-05 13:54:00,13774,34327
2025-11-05 13:56:00,46393,32854
2025-11-05 13:58:00,72110,31005
2025-11-05 14:00:00,78017,33169
2025-11-05 14:02:00,78448,32338
2025-11-05 14:04:00,76430,32818
2025-11-05 14:06:00,74595,34499
2025-11-05 14:08:00,74752,33221
2025-11-05 14:10:00,63770,35625
